"route","title","word_count","canonical","robots","internal_links","external_links","classification","recommendation"
"mos/0291.html","0291 Intelligence Chief Civilian Careers | VeteranCareerPath","3336","https://veterancareerpath.com/mos/0291.html","","408","20","mos_reference","keep"
"mos/0300.html","0300 Basic Infantry Marine Civilian Careers | VeteranCareerPath","3394","https://veterancareerpath.com/mos/0300.html","","408","19","mos_reference","keep"
"mos/0311.html","0311 Rifleman Civilian Careers | USMC MOS Transition Guide","3010","https://veterancareerpath.com/mos/0311.html","","405","13","mos_reference","keep"
"mos/0313.html","0313 Light Armored Reconnaissance Careers | VeteranCareerPath","3403","https://veterancareerpath.com/mos/0313.html","","408","19","mos_reference","keep"
"mos/0321.html","0321 Reconnaissance Marine Civilian Careers | VeteranCareerPath","3383","https://veterancareerpath.com/mos/0321.html","","408","19","mos_reference","keep"
"mos/0322.html","0322 Recon Marine Parachute/Dive Qualified | VeteranCareerPath","3403","https://veterancareerpath.com/mos/0322.html","","408","19","mos_reference","keep"
"mos/0331.html","0331 Machine Gunner Civilian Careers | USMC MOS to Civilian Jobs","3387","https://veterancareerpath.com/mos/0331.html","","408","19","mos_reference","keep"
"mos/0341.html","0341 Mortarman Civilian Careers | USMC MOS to Civilian Jobs","3376","https://veterancareerpath.com/mos/0341.html","","408","19","mos_reference","keep"
"mos/0351.html","0351 Infantry Assaultman Civilian Careers | VeteranCareerPath","3383","https://veterancareerpath.com/mos/0351.html","","408","19","mos_reference","keep"
"mos/0352.html","0352 Anti-Tank Missileman Civilian Careers | VeteranCareerPath","3383","https://veterancareerpath.com/mos/0352.html","","408","19","mos_reference","keep"
"mos/0365.html","0365 Infantry Squad Leader Civilian Careers | VeteranCareerPath","3394","https://veterancareerpath.com/mos/0365.html","","408","19","mos_reference","keep"
"mos/0369.html","0369 Infantry Unit Leader Civilian Careers | VeteranCareerPath","3394","https://veterancareerpath.com/mos/0369.html","","408","19","mos_reference","keep"
"mos/0370.html","0370 Special Operations Officer Careers | VeteranCareerPath","3285","https://veterancareerpath.com/mos/0370.html","","408","17","mos_reference","keep"
"mos/0372.html","0372 Critical Skills Operator Careers | VeteranCareerPath","3285","https://veterancareerpath.com/mos/0372.html","","408","17","mos_reference","keep"
"mos/0400.html","0400 Basic Logistics Marine Civilian Careers | VeteranCareerPath","3197","https://veterancareerpath.com/mos/0400.html","","408","11","mos_reference","keep"
"mos/0411.html","0411 Maintenance Management Careers | VeteranCareerPath","3195","https://veterancareerpath.com/mos/0411.html","","408","11","mos_reference","keep"
"mos/0431.html","0431 Logistics/Embarkation Specialist Careers | VeteranCareerPath","3185","https://veterancareerpath.com/mos/0431.html","","408","11","mos_reference","keep"
"mos/0451.html","0451 Airborne and Air Delivery Specialist | VeteranCareerPath","3217","https://veterancareerpath.com/mos/0451.html","","408","11","mos_reference","keep"
"mos/0600.html","0600 Basic Communications Marine Careers | VeteranCareerPath","3192","https://veterancareerpath.com/mos/0600.html","","408","18","mos_reference","keep"
"mos/0612.html","0612 Field Wireman Civilian Careers | USMC MOS to Civilian Jobs","3186","https://veterancareerpath.com/mos/0612.html","","408","18","mos_reference","keep"
"mos/0613.html","0613 Cable Systems and Wiring Careers | VeteranCareerPath","3213","https://veterancareerpath.com/mos/0613.html","","408","18","mos_reference","keep"
"mos/0614.html","0614 Telephone Technician Civilian Careers | VeteranCareerPath","3182","https://veterancareerpath.com/mos/0614.html","","408","18","mos_reference","keep"
"mos/0621.html","0621 Field Radio Operator Civilian Careers | VeteranCareerPath","2827","https://veterancareerpath.com/mos/0621.html","","405","15","mos_reference","keep"
"mos/0623.html","0623 Radio Chief Civilian Careers | USMC MOS to Civilian Jobs","3186","https://veterancareerpath.com/mos/0623.html","","408","18","mos_reference","keep"
"mos/0627.html","0627 Ground Mobile Forces Satellite Operator | VeteranCareerPath","3213","https://veterancareerpath.com/mos/0627.html","","408","18","mos_reference","keep"
"mos/0631.html","0631 Network Administrator Civilian Careers | VeteranCareerPath","3182","https://veterancareerpath.com/mos/0631.html","","408","18","mos_reference","keep"
"mos/0651.html","0651 Cyber Network Operator Civilian Careers | VeteranCareerPath","2913","https://veterancareerpath.com/mos/0651.html","","405","16","mos_reference","keep"
